,Pos,GP,GS,Min.,G,A,Pts,Y/R,Caps/Goals
Scoring_OpponentTotals,,20,20,1816,7,4,18,28/1,
Scoring_TeamTotals,,20,20,1816,67,54,186,10/0,
BrianMorgan ,M,15,13,1113,0,4,4,0/0,58/4
DunnCrystal,F,20,13,1147,12,5,29,1/0,40/16
EngenWhitney,D,10,4,471,0,0,0,0/0,39/4
HeathTobin,M,17,15,1313,4,6,14,1/0,123/16
HinkleJaelene,D,4,1,165,0,0,0,0/0,8/0
HoranLindsey,F,19,12,996,2,4,8,1/0,25/3
JohnstonJulie ,D,16,14,1210,3,1,7,2/0,42/8
KlingenbergMeghan,D,19,17,1499,0,4,4,1/0,69/3
KriegerAli,D,15,7,693,0,0,0,1/0,94/1
LloydCarli,M,18,17,1418,14,10,38,1/0,229/93
LongAllie,M,11,9,781,2,2,6,1/0,15/2
McCaffreyStephanie,F,2,1,135,0,1,1,0/0,6/1
MewisSamantha,M,9,5,462,2,0,4,0/0,13/2
MorganAlex,F,18,15,1369,15,3,33,0/0,117/71
O'HaraKelley,D,18,15,1344,1,1,3,0/0,87/2
O'ReillyHeather,M,4,1,165,1,1,3,0/0,231/47
PressChristen,F,20,7,852,6,2,14,0/0,75/35
PughMallory,F,17,12,1078,4,7,15,1/0,17/4
RapinoeMegan,M,3,1,104,0,0,0,0/0,116/31
SauerbrunnBecky ,D,18,18,1537,0,3,3,0/0 ,114/0
SonnettEmily,D,6,3,307,0,0,0,0/0,10/0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,GP,GS,Min.,GF,GA,SO,GAA,W-L-T,Caps/SO
GK_OpponentTotals,20,20,1816,7,67,0,3.35,0-17-3,
GK_TeamTotals,20,20,1816,67,7,15,0.35,17-0-3,
HarrisAshlyn_G,1,1,90,9,0,1,0,1-0-0,9/3
NaeherAlyssa_G,3,2,225,14,0,2,0,2-0-0,7/4
SoloHope_G,17,17,1501,44,7,12,0.45,14-0-3,202/102
